Year and dataset code row,Month,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor fuel & oil
[Note 2]","Current price indices: All Items CPI 2010=100
",Real price indices: Solid fuels [Note 3],Real price indices: Gas [Note 3],Real price indices: Electricity [Note 3],Real price indices: Liquid fuels [Note 3],"Real price indices: Domestic fuels
[Note 1, 3]","Real price indices: Motor fuel & oil
[Note 2, 3]","Real price indices: All Items CPI 2010=100
[Note 3]",GDP Deflator     2010=100 [Note 3]
Dataset identifier code,,D7DW,D7DU,D7DT,D7DV,D7CH,D7EC,D7BT,,,,,,,,
1990,January,37.0,36.4,49.0,35.1,42.2,32.0,60.0,63.7,62.7,84.4,60.4,72.7,55.0,103.2,58.09
1990,February,37.0,36.4,49.0,31.1,42.0,31.9,60.4,63.7,62.7,84.4,53.5,72.3,54.9,104.0,58.09
1990,March,37.1,36.8,49.0,28.9,42.1,31.9,60.6,63.9,63.4,84.4,49.7,72.5,54.9,104.4,58.09
1990,April,37.1,37.7,49.6,29.3,42.7,34.2,61.7,62.5,63.6,83.5,49.3,72.0,57.5,104.0,59.37
1990,May,35.2,38.7,51.3,28.9,43.6,34.1,62.3,59.3,65.1,86.5,48.6,73.5,57.4,104.9,59.37
1990,June,35.1,39.1,52.6,27.7,44.3,33.9,62.5,59.1,65.8,88.6,46.7,74.6,57.1,105.3,59.37
1990,July,35.0,39.1,53.5,26.8,44.5,33.6,62.4,57.2,63.9,87.6,43.9,72.9,55.0,102.1,61.12
1990,August,36.4,39.1,53.5,36.4,45.3,36.2,63.1,59.6,63.9,87.6,59.5,74.1,59.2,103.2,61.12
1990,September,37.3,39.1,53.5,40.1,45.7,39.1,63.8,61.1,63.9,87.6,65.6,74.8,64.0,104.3,61.12
1990,October,37.7,39.1,53.5,53.4,46.6,40.0,64.2,61.2,63.4,86.9,86.7,75.7,64.9,104.3,61.58
1990,November,38.9,39.3,53.5,44.2,46.2,37.8,64.3,63.2,63.8,86.9,71.7,75.0,61.4,104.4,61.58
1990,December,39.2,39.6,53.5,39.7,46.1,35.7,64.3,63.6,64.3,86.9,64.5,74.8,57.9,104.4,61.58
1991,January,39.5,40.1,53.5,42.0,46.5,35.2,64.2,62.7,63.7,85.0,66.7,73.8,55.9,101.9,62.98
1991,February,39.5,40.4,53.5,40.9,46.5,34.1,64.5,62.7,64.1,85.0,64.9,73.8,54.1,102.5,62.98
1991,March,39.6,40.4,53.5,32.6,46.0,34.4,64.8,62.9,64.1,85.0,51.8,73.0,54.5,102.8,62.98
1991,April,39.7,40.5,54.4,30.7,46.3,38.1,67.0,62.2,63.4,85.1,48.0,72.5,59.6,104.8,63.91
1991,May,37.8,40.9,56.2,31.4,47.2,39.0,67.4,59.1,64.0,87.9,49.1,73.9,61.1,105.5,63.91
1991,June,37.2,41.3,58.0,30.9,48.0,38.7,67.8,58.3,64.6,90.8,48.4,75.1,60.6,106.1,63.91
1991,July,37.1,41.6,59.2,30.7,48.7,39.2,67.7,57.3,64.2,91.4,47.4,75.2,60.6,104.6,64.73
1991,August,39.0,41.6,59.2,31.0,48.8,39.0,68.1,60.3,64.2,91.4,47.9,75.4,60.3,105.2,64.73
1991,September,39.8,41.6,59.2,32.3,48.9,38.4,68.3,61.6,64.2,91.4,49.9,75.6,59.3,105.6,64.73
1991,October,40.1,41.6,59.2,31.9,48.9,38.7,68.6,61.1,63.4,90.3,48.7,74.6,59.1,104.6,65.54
1991,November,41.1,41.6,59.2,32.6,49.0,38.5,68.8,62.7,63.4,90.3,49.8,74.8,58.8,105.0,65.54
1991,December,41.2,41.6,59.2,30.4,48.9,38.1,68.9,62.9,63.4,90.3,46.4,74.6,58.1,105.1,65.54
1992,January,41.3,41.6,59.2,28.4,48.8,36.5,68.7,62.4,62.7,89.3,42.8,73.6,55.2,103.7,66.24
1992,February,41.3,41.6,59.2,29.0,48.9,36.9,69.0,62.4,62.7,89.3,43.8,73.8,55.7,104.2,66.24
1992,March,41.3,41.6,59.2,28.0,48.8,37.5,69.4,62.4,62.7,89.3,42.3,73.6,56.6,104.7,66.24
1992,April,41.3,41.6,59.3,27.9,48.9,38.8,70.1,62.0,62.4,89.0,41.9,73.4,58.3,105.3,66.59
1992,May,41.0,41.6,59.7,28.2,49.0,39.3,70.4,61.5,62.4,89.6,42.4,73.6,59.0,105.7,66.59
1992,June,39.4,41.6,60.2,28.0,49.0,39.2,70.4,59.1,62.4,90.4,42.0,73.6,58.9,105.7,66.59
1992,July,39.4,41.3,60.4,28.0,49.2,39.1,70.0,59.4,62.2,91.1,42.3,74.1,59.0,105.5,66.36
1992,August,39.3,40.9,60.4,27.2,48.9,38.6,70.1,59.2,61.6,91.1,41.0,73.7,58.2,105.7,66.36
1992,September,40.9,40.5,60.4,26.5,48.8,38.3,70.4,61.6,61.0,91.1,39.9,73.5,57.7,106.0,66.36
1992,October,41.4,40.1,60.4,30.3,48.8,39.4,70.6,61.8,59.8,90.1,45.1,72.7,58.8,105.3,67.05
1992,November,41.7,39.8,60.4,32.1,48.9,40.2,70.6,62.1,59.4,90.1,47.8,72.9,59.9,105.3,67.05
1992,December,41.7,39.6,60.4,31.1,48.7,40.6,70.7,62.1,59.0,90.1,46.3,72.6,60.5,105.4,67.05
1993,January,41.7,39.4,60.4,31.2,48.7,39.4,70.2,61.0,57.7,88.4,45.7,71.2,57.7,102.8,68.34
1993,February,41.7,39.4,60.4,31.3,48.7,40.2,70.7,61.0,57.7,88.4,45.8,71.2,58.8,103.5,68.34
1993,March,41.7,39.4,60.4,32.5,48.7,40.6,71.1,61.0,57.7,88.4,47.5,71.2,59.3,104.1,68.34
1993,April,41.5,39.4,60.3,31.3,48.5,42.4,71.9,61.0,57.9,88.6,46.0,71.3,62.2,105.6,68.10
1993,May,39.8,39.4,59.8,30.9,48.3,42.4,72.1,58.5,57.9,87.8,45.4,70.9,62.2,105.9,68.10
1993,June,39.6,39.4,59.5,30.2,48.0,42.8,72.1,58.2,57.9,87.4,44.3,70.5,62.9,105.9,68.10
1993,July,39.6,39.4,59.3,29.8,48.0,42.4,71.8,57.6,57.3,86.2,43.4,69.8,61.6,104.4,68.80
1993,August,39.5,39.4,59.3,29.1,47.9,42.1,72.1,57.4,57.3,86.2,42.3,69.6,61.2,104.9,68.80
1993,September,41.4,39.4,59.4,29.3,48.0,42.3,72.5,60.2,57.3,86.4,42.5,69.8,61.4,105.4,68.80
1993,October,41.9,39.4,59.4,30.7,48.1,41.8,72.4,60.5,56.9,85.8,44.4,69.5,60.3,104.5,69.27
1993,November,41.5,39.4,59.3,30.6,48.1,41.7,72.3,60.0,56.9,85.6,44.1,69.5,60.2,104.3,69.27
1993,December,42.0,39.4,59.2,30.2,48.0,43.3,72.4,60.6,56.9,85.4,43.6,69.3,62.5,104.5,69.27
1994,January,42.1,39.4,59.0,29.4,47.9,43.1,72.1,60.4,56.6,84.6,42.2,68.7,61.9,103.5,69.73
1994,February,42.0,39.4,58.6,28.8,47.8,43.0,72.5,60.2,56.6,84.1,41.3,68.5,61.7,103.9,69.73
1994,March,41.9,39.4,58.4,28.6,47.6,42.8,72.7,60.1,56.6,83.7,41.0,68.3,61.4,104.3,69.73
1994,April,45.1,42.6,62.9,31.2,51.3,43.2,73.3,64.8,61.3,90.5,44.9,73.9,62.2,105.4,69.50
1994,May,43.5,42.6,62.6,31.2,51.1,43.4,73.6,62.6,61.3,90.1,44.9,73.5,62.5,105.9,69.50
1994,June,43.2,42.6,62.5,30.7,51.1,43.8,73.6,62.2,61.3,89.9,44.1,73.5,63.0,105.9,69.50
1994,July,43.2,42.6,62.9,30.5,51.2,43.6,73.2,62.1,61.2,90.3,43.8,73.6,62.6,105.1,69.62
1994,August,43.2,42.6,63.1,30.5,51.3,44.8,73.5,62.1,61.2,90.7,43.8,73.8,64.3,105.6,69.62
1994,September,44.3,42.6,63.0,30.3,51.2,44.5,73.6,63.6,61.2,90.5,43.5,73.6,63.9,105.7,69.62
1994,October,44.9,42.6,62.7,30.3,51.2,43.8,73.5,63.6,60.3,88.8,42.9,72.5,62.0,104.0,70.66
1994,November,44.9,42.6,62.6,30.2,51.1,43.2,73.5,63.6,60.3,88.6,42.7,72.3,61.2,104.0,70.66
1994,December,45.1,42.6,62.6,29.8,51.1,44.8,73.8,63.8,60.3,88.6,42.1,72.3,63.5,104.5,70.66
1995,January,45.1,42.7,62.7,29.8,51.2,45.6,73.8,63.6,60.3,88.5,42.0,72.2,64.3,104.1,70.90
1995,February,45.1,42.9,62.6,29.7,51.3,45.2,74.2,63.6,60.5,88.3,41.9,72.4,63.8,104.6,70.90
1995,March,44.8,43.1,62.6,29.4,51.3,45.5,74.6,63.2,60.8,88.3,41.5,72.4,64.2,105.2,70.90
1995,April,44.8,43.3,62.6,29.8,51.5,46.2,74.9,62.6,60.4,87.5,41.7,71.9,64.5,104.7,71.59
1995,May,43.4,43.3,62.5,29.7,51.3,46.4,75.4,60.6,60.4,87.3,41.5,71.7,64.8,105.3,71.59
1995,June,43.2,43.3,62.5,29.5,51.3,46.6,75.4,60.4,60.4,87.3,41.2,71.7,65.0,105.3,71.59
1995,July,43.1,43.3,62.6,29.4,51.3,46.6,75.1,59.8,60.0,86.7,40.7,71.1,64.5,104.0,72.18
1995,August,42.9,43.3,62.6,29.4,51.3,46.3,75.4,59.4,60.0,86.7,40.7,71.1,64.1,104.5,72.18
1995,September,44.4,43.3,62.6,30.4,51.5,45.7,75.7,61.5,60.0,86.7,42.1,71.3,63.3,104.9,72.18
1995,October,44.5,43.3,62.5,29.7,51.5,45.1,75.6,61.1,59.4,85.7,40.7,70.6,61.9,103.8,72.88
1995,November,44.6,43.3,62.5,30.2,51.5,44.5,75.6,61.2,59.4,85.7,41.4,70.6,61.0,103.8,72.88
1995,December,44.7,43.3,62.5,31.6,51.6,47.7,76.1,61.4,59.4,85.7,43.4,70.8,65.5,104.4,72.88
1996,January,45.4,43.3,62.5,33.2,51.6,48.0,75.8,61.4,58.5,84.5,44.9,69.8,64.9,102.6,73.92
1996,February,45.4,43.3,62.5,32.9,51.6,46.7,76.2,61.4,58.5,84.5,44.5,69.8,63.1,103.0,73.92
1996,March,45.4,43.3,62.5,33.9,51.6,46.4,76.5,61.4,58.5,84.5,45.8,69.8,62.7,103.5,73.92
1996,April,45.4,43.3,62.5,34.9,51.7,47.0,76.8,60.3,57.5,83.0,46.4,68.7,62.5,102.0,75.32
1996,May,44.0,43.3,62.6,32.8,51.6,47.0,77.1,58.5,57.5,83.1,43.5,68.5,62.5,102.3,75.32
1996,June,43.8,43.3,62.9,32.1,51.7,46.8,77.2,58.2,57.5,83.5,42.7,68.7,62.1,102.5,75.32
1996,July,43.9,43.3,63.0,32.6,51.7,46.6,76.7,57.9,57.0,83.0,43.0,68.2,61.3,101.1,75.90
1996,August,43.9,43.3,62.7,32.9,51.6,47.5,77.1,57.9,57.0,82.7,43.3,68.0,62.6,101.5,75.90
1996,September,44.8,43.3,62.4,37.4,51.7,49.2,77.5,59.1,57.0,82.2,49.3,68.2,64.9,102.1,75.90
1996,October,45.7,43.3,61.7,40.7,51.6,50.0,77.5,59.9,56.7,80.8,53.3,67.6,65.5,101.5,76.37
1996,November,46.1,43.3,61.3,36.5,51.3,50.5,77.5,60.3,56.7,80.3,47.9,67.2,66.1,101.5,76.37
1996,December,46.1,43.3,61.1,38.3,51.3,52.2,77.7,60.3,56.7,80.0,50.2,67.2,68.3,101.8,76.37
1997,January,46.2,43.3,60.4,38.5,51.0,51.8,77.4,61.5,57.6,80.5,51.3,67.9,69.0,103.1,75.09
1997,February,46.2,43.3,60.7,36.1,51.1,51.6,77.6,61.5,57.6,80.8,48.0,68.0,68.7,103.4,75.09
1997,March,46.1,43.3,60.9,33.0,51.1,51.1,77.7,61.4,57.6,81.2,43.9,68.0,68.1,103.5,75.09
1997,April,46.0,43.1,60.8,31.3,51.0,50.9,78.1,61.2,57.5,81.0,41.7,67.9,67.7,104.0,75.09
1997,May,44.7,43.1,60.4,31.4,50.7,51.0,78.3,59.6,57.5,80.5,41.8,67.5,68.0,104.3,75.09
1997,June,44.5,43.1,60.1,30.6,50.4,51.4,78.5,59.3,57.5,80.0,40.7,67.2,68.5,104.6,75.09
1997,July,44.6,43.1,59.7,29.3,50.3,53.5,78.2,58.2,56.3,77.9,38.2,65.7,69.9,102.1,76.60
1997,August,44.4,43.1,59.5,30.5,50.3,54.7,78.6,57.9,56.3,77.7,39.8,65.7,71.4,102.7,76.60
1997,September,44.3,42.1,57.7,29.8,48.9,55.2,79.0,57.8,54.9,75.4,39.0,63.8,72.1,103.1,76.60
1997,October,45.9,42.1,57.6,31.3,48.9,54.9,79.0,61.0,56.0,76.6,41.6,65.0,73.0,105.0,75.20
1997,November,45.9,42.1,57.1,31.2,48.8,54.7,79.0,61.0,56.0,75.9,41.5,64.9,72.7,105.0,75.20
1997,December,45.9,42.1,56.7,30.3,48.5,54.4,79.1,61.0,56.0,75.4,40.2,64.5,72.3,105.2,75.20
